id,iso2,currency_code,currency_unit_ko,currency_krw_unit,recorded_date
79,FJ,FJD,피지 달러,645.76,2025-12-18
80,GR,EUR,유로,1728.92,2025-12-18
81,PT,EUR,유로,1728.92,2025-12-18
82,IN,INR,인도 루피,16.35,2025-12-18
83,AT,EUR,유로,1728.92,2025-12-18
84,TR,TRY,리라,34.52,2025-12-18
85,HU,HUF,포린트,4.46,2025-12-18
86,JP,JPY,엔,947.88,2025-12-18
87,TH,THB,바트,46.97,2025-12-18
88,SK,EUR,유로,1728.92,2025-12-18
89,QA,QAR,리얄,404.76,2025-12-18
90,FR,EUR,유로,1728.92,2025-12-18
91,KZ,KZT,텡게,2.86,2025-12-18
92,SA,SAR,리얄,393.24,2025-12-18
93,HK,HKD,홍콩 달러,189.57,2025-12-18
94,BD,BDT,타카,12.06,2025-12-18
95,ET,ETB,비르,9.49,2025-12-18
96,UZ,UZS,숨,0.12,2025-12-18
97,CH,CHF,스위스 프랑,1855.93,2025-12-18
98,CL,CLP,칠레 페소,1.62,2025-12-18
99,DZ,DZD,알제리 디나르,11.37,2025-12-18
100,JO,JOD,요르단 디나르,2080.39,2025-12-18
101,OM,OMR,오만 리알,3831.07,2025-12-18
102,ZA,ZAR,랜드,88.09,2025-12-18
103,GB,GBP,파운드 스털링,1973.03,2025-12-18
104,US,USD,미국 달러,1475.0,2025-12-18
105,FI,EUR,유로,1728.92,2025-12-18
106,MX,MXN,멕시코 페소,81.99,2025-12-18
107,AU,AUD,호주 달러,975.12,2025-12-18
108,TW,TWD,신 타이완 달러 (대만 달러),46.8,2025-12-18
109,PL,PLN,즈워티,411.33,2025-12-18
110,MT,EUR,유로,1728.92,2025-12-18
111,IL,ILS,신 셰켈,460.1,2025-12-18
112,CY,EUR,유로,1728.92,2025-12-18
113,BN,BND,브루나이 달러 (싱가포르 달러 통용),1143.37,2025-12-18
114,IE,EUR,유로,1728.92,2025-12-18
115,KH,KHR,리엘 (미국 달러 통용),0.37,2025-12-18
116,MN,MNT,투그릭,0.42,2025-12-18
117,TZ,TZS,탄자니아 실링,0.59,2025-12-18
118,BH,BHD,바레인 디나르,3912.16,2025-12-18
119,LU,EUR,유로,1728.92,2025-12-18
120,IT,EUR,유로,1728.92,2025-12-18
121,PH,PHP,필리핀 페소,25.18,2025-12-18
122,DK,DKK,덴마크 크로네,231.41,2025-12-18
123,KE,KES,케냐 실링,11.44,2025-12-18
124,ES,EUR,유로,1728.92,2025-12-18
125,MO,MOP,파타카,183.92,2025-12-18
126,EE,EUR,유로,1728.92,2025-12-18
127,CO,COP,콜롬비아 페소,0.38,2025-12-18
128,LV,EUR,유로,1728.92,2025-12-18
129,DE,EUR,유로,1728.92,2025-12-18
130,MY,MYR,링깃,360.99,2025-12-18
206,ID,IDR,루피아,8.84,2025-12-18
131,NP,NPR,네팔 루피,10.22,2025-12-18
132,MM,MMK,짯,0.7,2025-12-18
133,PK,PKR,파키스탄 루피,5.26,2025-12-18
134,EG,EGP,이집트 파운드,31.03,2025-12-18
135,CN,CNY,위안 (런민비),209.73,2025-12-18
136,NL,EUR,유로,1728.92,2025-12-18
137,HR,EUR,유로,1728.92,2025-12-18
138,CZ,CZK,코루나,70.96,2025-12-18
139,LK,LKR,스리랑카 루피,4.77,2025-12-18
140,LY,LYD,리비아 디나르,272.1,2025-12-18
141,SE,SEK,스웨덴 크로나,158.71,2025-12-18
142,BE,EUR,유로,1728.92,2025-12-18
143,NZ,NZD,뉴질랜드 달러,851.52,2025-12-18
144,AE,AED,디르함,401.59,2025-12-18
145,NO,NOK,노르웨이 크로네,145.1,2025-12-18
146,SI,EUR,유로,1728.92,2025-12-18
147,RU,RUB,루블,18.48,2025-12-18
148,SG,SGD,싱가포르 달러,1143.37,2025-12-18
149,RO,RON,레우,339.65,2025-12-18
150,BR,BRL,헤알,267.23,2025-12-18
151,KW,KWD,쿠웨이트 디나르,4802.37,2025-12-18
228,VN,VND,동,5.62,2025-12-18
152,LT,EUR,유로,1728.92,2025-12-18
230,CA,CAD,캐나다 달러,1071.96,2025-12-19
231,FJ,FJD,피지 달러,647.39,2025-12-19
232,GR,EUR,유로,1732.61,2025-12-19
233,PT,EUR,유로,1732.61,2025-12-19
234,IN,INR,인도 루피,16.39,2025-12-19
235,AT,EUR,유로,1732.61,2025-12-19
236,TR,TRY,리라,34.53,2025-12-19
237,HU,HUF,포린트,4.47,2025-12-19
238,JP,JPY,엔,948.33,2025-12-19
239,TH,THB,바트,47.05,2025-12-19
240,SK,EUR,유로,1732.61,2025-12-19
241,QA,QAR,리얄,405.7,2025-12-19
242,FR,EUR,유로,1732.61,2025-12-19
243,KZ,KZT,텡게,2.85,2025-12-19
244,SA,SAR,리얄,394.15,2025-12-19
245,HK,HKD,홍콩 달러,190.0,2025-12-19
246,BD,BDT,타카,12.09,2025-12-19
247,ET,ETB,비르,9.52,2025-12-19
248,UZ,UZS,숨,0.12,2025-12-19
249,CH,CHF,스위스 프랑,1859.97,2025-12-19
250,CL,CLP,칠레 페소,1.62,2025-12-19
251,DZ,DZD,알제리 디나르,11.39,2025-12-19
252,JO,JOD,요르단 디나르,2085.19,2025-12-19
253,OM,OMR,오만 리알,3839.9,2025-12-19
254,ZA,ZAR,랜드,88.25,2025-12-19
255,GB,GBP,파운드 스털링,1978.25,2025-12-19
256,US,USD,미국 달러,1478.4,2025-12-19
257,FI,EUR,유로,1732.61,2025-12-19
258,MX,MXN,멕시코 페소,82.11,2025-12-19
259,AU,AUD,호주 달러,976.93,2025-12-19
260,TW,TWD,신 타이완 달러 (대만 달러),46.87,2025-12-19
261,PL,PLN,즈워티,412.29,2025-12-19
262,MT,EUR,유로,1732.61,2025-12-19
263,IL,ILS,신 셰켈,460.75,2025-12-19
264,CY,EUR,유로,1732.61,2025-12-19
265,BN,BND,브루나이 달러 (싱가포르 달러 통용),1144.85,2025-12-19
266,IE,EUR,유로,1732.61,2025-12-19
267,KH,KHR,리엘 (미국 달러 통용),0.37,2025-12-19
268,MN,MNT,투그릭,0.42,2025-12-19
269,TZ,TZS,탄자니아 실링,0.6,2025-12-19
270,BH,BHD,바레인 디나르,3921.17,2025-12-19
271,LU,EUR,유로,1732.61,2025-12-19
272,IT,EUR,유로,1732.61,2025-12-19
273,PH,PHP,필리핀 페소,25.22,2025-12-19
274,DK,DKK,덴마크 크로네,231.92,2025-12-19
275,KE,KES,케냐 실링,11.47,2025-12-19
276,ES,EUR,유로,1732.61,2025-12-19
277,MO,MOP,파타카,184.45,2025-12-19
278,EE,EUR,유로,1732.61,2025-12-19
279,CO,COP,콜롬비아 페소,0.38,2025-12-19
280,LV,EUR,유로,1732.61,2025-12-19
281,DE,EUR,유로,1732.61,2025-12-19
282,MY,MYR,링깃,362.35,2025-12-19
283,ID,IDR,루피아,8.83,2025-12-19
284,NP,NPR,네팔 루피,10.25,2025-12-19
285,MM,MMK,짯,0.7,2025-12-19
286,PK,PKR,파키스탄 루피,5.28,2025-12-19
287,EG,EGP,이집트 파운드,31.07,2025-12-19
288,CN,CNY,위안 (런민비),210.11,2025-12-19
289,NL,EUR,유로,1732.61,2025-12-19
290,HR,EUR,유로,1732.61,2025-12-19
291,CZ,CZK,코루나,71.17,2025-12-19
292,LK,LKR,스리랑카 루피,4.78,2025-12-19
293,LY,LYD,리비아 디나르,272.73,2025-12-19
294,SE,SEK,스웨덴 크로나,159.09,2025-12-19
295,BE,EUR,유로,1732.61,2025-12-19
296,NZ,NZD,뉴질랜드 달러,851.93,2025-12-19
297,AE,AED,디르함,402.55,2025-12-19
298,NO,NOK,노르웨이 크로네,145.43,2025-12-19
299,SI,EUR,유로,1732.61,2025-12-19
300,RU,RUB,루블,18.44,2025-12-19
301,SG,SGD,싱가포르 달러,1144.85,2025-12-19
302,RO,RON,레우,340.34,2025-12-19
303,BR,BRL,헤알,267.73,2025-12-19
304,KW,KWD,쿠웨이트 디나르,4816.58,2025-12-19
305,VN,VND,동,5.62,2025-12-19
306,LT,EUR,유로,1732.61,2025-12-19
